"prvdr_id","msr_cd","scr"
"'060008'","HAC_1","0.000"
"'060009'","HAC_1","0.109"
"'060010'","HAC_1","0.000"
"'060011'","HAC_1","0.000"
"'060012'","HAC_1","0.304"
"'060013'","HAC_1","0.000"
"'060014'","HAC_1","0.371"
"'060015'","HAC_1","0.000"
"'060016'","HAC_1","0.000"
"'060020'","HAC_1","0.000"
"'060022'","HAC_1","0.000"
"'060023'","HAC_1","0.000"
"'060024'","HAC_1","0.000"
"'060027'","HAC_1","0.000"
"'060028'","HAC_1","0.000"
"'060030'","HAC_1","0.000"
"'060031'","HAC_1","0.000"
"'060032'","HAC_1","0.000"
"'060034'","HAC_1","0.076"
"'060036'","HAC_1","0.000"
"'060043'","HAC_1","0.000"
"'060044'","HAC_1","0.000"
"'060049'","HAC_1","0.000"
"'060054'","HAC_1","0.000"
"'060064'","HAC_1","0.000"
"'060065'","HAC_1","0.000"
"'060071'","HAC_1","0.000"
"'060075'","HAC_1","0.000"
"'060076'","HAC_1","0.000"
"'060096'","HAC_1","0.000"
"'060100'","HAC_1","0.000"
"'060103'","HAC_1","0.000"
"'060104'","HAC_1","0.000"
"'060107'","HAC_1","0.000"
"'060112'","HAC_1","0.000"
"'060113'","HAC_1","0.000"
"'060114'","HAC_1","0.000"
"'060116'","HAC_1","0.000"
"'060117'","HAC_1","0.000"
"'060118'","HAC_1","0.000"
"'060119'","HAC_1","0.000"
"'060124'","HAC_1","0.000"
"'061301'","HAC_1","Not Available"
"'061302'","HAC_1","Not Available"
"'061303'","HAC_1","Not Available"
"'061304'","HAC_1","Not Available"
"'061305'","HAC_1","Not Available"
"'061307'","HAC_1","Not Available"
"'061309'","HAC_1","Not Available"
"'061310'","HAC_1","Not Available"
"'061311'","HAC_1","Not Available"
"'061312'","HAC_1","Not Available"
"'061313'","HAC_1","Not Available"
"'061314'","HAC_1","Not Available"
"'061315'","HAC_1","Not Available"
"'061316'","HAC_1","Not Available"
"'061317'","HAC_1","Not Available"
"'061319'","HAC_1","Not Available"
"'061320'","HAC_1","Not Available"
"'061321'","HAC_1","Not Available"
"'061322'","HAC_1","Not Available"
"'061323'","HAC_1","Not Available"
"'061324'","HAC_1","Not Available"
"'061325'","HAC_1","Not Available"
"'061326'","HAC_1","Not Available"
"'061327'","HAC_1","Not Available"
"'061328'","HAC_1","Not Available"
"'063301'","HAC_1","Not Available"
"'070002'","HAC_1","0.000"
"'070003'","HAC_1","0.000"
"'070004'","HAC_1","0.000"
"'070005'","HAC_1","0.090"
"'070006'","HAC_1","0.000"
"'070007'","HAC_1","0.080"
"'070008'","HAC_1","0.000"
"'070010'","HAC_1","0.000"
"'070011'","HAC_1","0.000"
"'070012'","HAC_1","0.000"
"'070015'","HAC_1","0.000"
"'070016'","HAC_1","0.098"
"'070017'","HAC_1","0.130"
"'070018'","HAC_1","0.102"
"'070019'","HAC_1","0.000"
"'070020'","HAC_1","0.082"
"'070021'","HAC_1","0.000"
"'070022'","HAC_1","0.124"
"'070024'","HAC_1","0.000"
"'070025'","HAC_1","0.073"
"'070027'","HAC_1","0.000"
"'070028'","HAC_1","0.000"
