"prvdr_id","msr_cd","scr","footnote","Sample"
"010100","ED_1b","326","2","568"
"010100","ED_2b","118","2","568"
"010100","OP_18b","168","","897"
"010100","OP_20","40","","934"
"010100","OP_21","69","","174"
"010100","OP_23","Not Available","1","Not Available"
"010100","OP_22","2","","14447"
"010101","ED_1b","212","2","394"
"010101","ED_2b","52","2","390"
"010101","OP_18b","145","","952"
"010101","OP_20","30","","926"
"010101","OP_21","60","","97"
"010101","OP_23","Not Available","1","Not Available"
"010101","OP_22","1","","11363"
"010102","ED_1b","158","","112"
"010102","ED_2b","0","","38"
"010102","OP_18b","95","","511"
"010102","OP_20","40","","132"
"010102","OP_21","72","1, 3","18"
"010102","OP_23","Not Available","5","Not Available"
"010102","OP_22","0","","2649"
"010103","ED_1b","284","2","719"
"010103","ED_2b","105","2","697"
"010103","OP_18b","164","","897"
"010103","OP_20","36","","937"
"010103","OP_21","84","","67"
"010103","OP_23","Not Available","1","Not Available"
"010103","OP_22","3","","22307"
"010104","ED_1b","180","2","481"
"010104","ED_2b","62","2","479"
"010104","OP_18b","113","","949"
"010104","OP_20","18","","988"
"010104","OP_21","47","","98"
"010104","OP_23","Not Available","1, 3","Not Available"
"010104","OP_22","1","","12647"
"010108","ED_1b","442","2","572"
"010108","ED_2b","224","2","568"
"010108","OP_18b","170","","887"
"010108","OP_20","44","","761"
"010108","OP_21","86","","152"
"010108","OP_23","14","1","21"
"010108","OP_22","4","","15286"
"010109","ED_1b","210","2","274"
"010109","ED_2b","65","2","257"
"010109","OP_18b","112","","587"
"010109","OP_20","32","","628"
"010109","OP_21","70","","26"
"010109","OP_23","Not Available","1","Not Available"
"010109","OP_22","1","","5628"
"010110","ED_1b","207","2, 3","149"
"010110","ED_2b","88","2, 3","144"
"010110","OP_18b","121","3","341"
"010110","OP_20","56","3","383"
"010110","OP_21","Not Available","1, 3","Not Available"
"010110","OP_23","Not Available","1, 3","Not Available"
"010110","OP_22","0","","1432"
"010112","ED_1b","190","2","558"
"010112","ED_2b","31","2","558"
"010112","OP_18b","115","","574"
"010112","OP_20","38","","625"
"010112","OP_21","Not Available","5","Not Available"
"010112","OP_23","Not Available","5","Not Available"
"010112","OP_22","2","","7085"
"010113","ED_1b","343","2","701"
"010113","ED_2b","128","2","698"
"010113","OP_18b","242","","966"
"010113","OP_20","63","","840"
"010113","OP_21","94","","75"
"010113","OP_23","Not Available","1","Not Available"
"010113","OP_22","6","","21315"
"010114","ED_1b","202","2","752"
"010114","ED_2b","45","2","736"
"010114","OP_18b","110","","1407"
"010114","OP_20","24","","1545"
"010114","OP_21","62","","136"
"010114","OP_23","Not Available","1","Not Available"
"010114","OP_22","1","","21183"
"010118","ED_1b","248","2","670"
"010118","ED_2b","76","2","664"
"010118","OP_18b","127","","1179"
"010118","OP_20","29","","1195"
"010118","OP_21","72","","108"
"010118","OP_23","Not Available","1","Not Available"
"010118","OP_22","3","","15604"
"010120","ED_1b","217","2","277"
"010120","ED_2b","50","2","267"
"010120","OP_18b","120","","559"
"010120","OP_20","25","","487"
"010120","OP_21","63","","34"
"010120","OP_23","Not Available","1","Not Available"
"010120","OP_22","3","","8251"
"010125","ED_1b","183","2","283"
"010125","ED_2b","76","2","283"
"010125","OP_18b","81","","984"
"010125","OP_20","17","","1089"
"010125","OP_21","33","","34"
"010125","OP_23","Not Available","1","Not Available"
"010125","OP_22","1","","4298"
"010126","ED_1b","198","2","516"
"010126","ED_2b","73","2","507"
"010126","OP_18b","95","","698"
"010126","OP_20","25","","811"
"010126","OP_21","33","","44"
"010126","OP_23","Not Available","1","Not Available"
"010126","OP_22","2","","9788"
"010128","ED_1b","180","","253"
"010128","ED_2b","40","","223"
"010128","OP_18b","110","","635"
"010128","OP_20","40","","635"
"010128","OP_21","65","","27"
"010128","OP_23","Not Available","1","Not Available"
"010128","OP_22","3","","3951"
"010129","ED_1b","239","2","285"
"010129","ED_2b","71","2","280"
"010129","OP_18b","128","","868"
"010129","OP_20","35","","895"
"010129","OP_21","72","","72"
"010129","OP_23","33","1","12"
"010129","OP_22","3","","6851"
"010130","ED_1b","266","2","332"
"010130","ED_2b","65","2","329"
"010130","OP_18b","138","","592"
"010130","OP_20","35","","635"
"010130","OP_21","75","","101"
"010130","OP_23","Not Available","1","Not Available"
"010130","OP_22","2","","9332"
"010131","ED_1b","226","2","593"
"010131","ED_2b","68","2","589"
"010131","OP_18b","137","","980"
"010131","OP_20","47","","1018"
"010131","OP_21","82","","103"
"010131","OP_23","64","1","11"
"010131","OP_22","2","","21235"
"010138","ED_1b","175","2","293"
"010138","ED_2b","40","2","297"
"010138","OP_18b","127","3","362"
"010138","OP_20","43","3","342"
"010138","OP_21","Not Available","1, 3","Not Available"
"010138","OP_23","Not Available","1, 3","Not Available"
"010138","OP_22","1","","2542"
"010139","ED_1b","286","2","334"
"010139","ED_2b","108","2","330"
"010139","OP_18b","192","","959"
"010139","OP_20","51","","1019"
"010139","OP_21","90","","145"
"010139","OP_23","Not Available","1, 3","Not Available"
"010139","OP_22","2","","21204"
"010144","ED_1b","215","2","677"
"010144","ED_2b","78","2","672"
"010144","OP_18b","142","","812"
"010144","OP_20","51","","794"
"010144","OP_21","58","","133"
"010144","OP_23","Not Available","1","Not Available"
"010144","OP_22","5","","16623"
"010146","ED_1b","258","2","212"
"010146","ED_2b","85","2","183"
"010146","OP_18b","120","","614"
"010146","OP_20","22","","601"
"010146","OP_21","61","","43"
"010146","OP_23","Not Available","1, 3","Not Available"
"010146","OP_22","2","","6936"
"010148","ED_1b","194","2","571"
"010148","ED_2b","62","2","545"
"010148","OP_18b","116","","526"
"010148","OP_20","36","","328"
"010148","OP_21","95","","25"
"010148","OP_23","Not Available","1, 3","Not Available"
"010148","OP_22","1","","5297"
"010149","ED_1b","392","2","298"
"010149","ED_2b","160","2","238"
"010149","OP_18b","186","","503"
"010149","OP_20","48","","510"
"010149","OP_21","80","","125"
"010149","OP_23","18","1","11"
"010149","OP_22","2","","21600"
"010150","ED_1b","232","2","457"
"010150","ED_2b","65","2","456"
"010150","OP_18b","114","","904"
"010150","OP_20","28","","956"
"010150","OP_21","79","","76"
"010150","OP_23","Not Available","1","Not Available"
"010150","OP_22","3","","5874"
