"Provider ID","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"050103","SPP_1","1.08",,"01/01/2012","12/31/2012"
"050104","SPP_1","1.07",,"01/01/2012","12/31/2012"
"050107","SPP_1","0.94",,"01/01/2012","12/31/2012"
"050108","SPP_1","0.93",,"01/01/2012","12/31/2012"
"050110","SPP_1","0.87",,"01/01/2012","12/31/2012"
"050111","SPP_1","1.38",,"01/01/2012","12/31/2012"
"050112","SPP_1","1.01",,"01/01/2012","12/31/2012"
"050113","SPP_1","0.90",,"01/01/2012","12/31/2012"
"050115","SPP_1","1.02",,"01/01/2012","12/31/2012"
"050116","SPP_1","1.04",,"01/01/2012","12/31/2012"
"050118","SPP_1","0.96",,"01/01/2012","12/31/2012"
"050121","SPP_1","0.93",,"01/01/2012","12/31/2012"
"050122","SPP_1","1.02",,"01/01/2012","12/31/2012"
"050124","SPP_1","1.08",,"01/01/2012","12/31/2012"
"050125","SPP_1","0.98",,"01/01/2012","12/31/2012"
"050126","SPP_1","1.10",,"01/01/2012","12/31/2012"
"050127","SPP_1","0.93",,"01/01/2012","12/31/2012"
"050128","SPP_1","1.04",,"01/01/2012","12/31/2012"
"050129","SPP_1","1.05",,"01/01/2012","12/31/2012"
"050131","SPP_1","1.00",,"01/01/2012","12/31/2012"
"050132","SPP_1","1.14",,"01/01/2012","12/31/2012"
"050133","SPP_1","0.93",,"01/01/2012","12/31/2012"
"050135","SPP_1","1.26",,"01/01/2012","12/31/2012"
"050136","SPP_1","0.95",,"01/01/2012","12/31/2012"
"050137","SPP_1","0.80",,"01/01/2012","12/31/2012"
"050138","SPP_1","0.87",,"01/01/2012","12/31/2012"
"050139","SPP_1","0.79",,"01/01/2012","12/31/2012"
"050140","SPP_1","0.86",,"01/01/2012","12/31/2012"
"050145","SPP_1","0.96",,"01/01/2012","12/31/2012"
"050149","SPP_1","1.00",,"01/01/2012","12/31/2012"
"050150","SPP_1","0.93",,"01/01/2012","12/31/2012"
"050152","SPP_1","1.08",,"01/01/2012","12/31/2012"
"050153","SPP_1","0.98",,"01/01/2012","12/31/2012"
"050158","SPP_1","1.05",,"01/01/2012","12/31/2012"
"050159","SPP_1","0.92",,"01/01/2012","12/31/2012"
"050167","SPP_1","0.99",,"01/01/2012","12/31/2012"
"050168","SPP_1","1.05",,"01/01/2012","12/31/2012"
"050169","SPP_1","1.01",,"01/01/2012","12/31/2012"
"050174","SPP_1","0.97",,"01/01/2012","12/31/2012"
"050179","SPP_1","0.95",,"01/01/2012","12/31/2012"
"050180","SPP_1","1.05",,"01/01/2012","12/31/2012"
"050189","SPP_1","0.88",,"01/01/2012","12/31/2012"
"050191","SPP_1","1.15",,"01/01/2012","12/31/2012"
"050192","SPP_1","0.99",,"01/01/2012","12/31/2012"
"050194","SPP_1","0.92",,"01/01/2012","12/31/2012"
"050195","SPP_1","0.96",,"01/01/2012","12/31/2012"
"050196","SPP_1","Not Available","1","01/01/2012","12/31/2012"
"050197","SPP_1","0.96",,"01/01/2012","12/31/2012"
"050204","SPP_1","0.99",,"01/01/2012","12/31/2012"
"050205","SPP_1","1.54",,"01/01/2012","12/31/2012"
"050211","SPP_1","0.95",,"01/01/2012","12/31/2012"
"050222","SPP_1","0.98",,"01/01/2012","12/31/2012"
"050224","SPP_1","1.03",,"01/01/2012","12/31/2012"
"050225","SPP_1","0.90",,"01/01/2012","12/31/2012"
"050226","SPP_1","1.09",,"01/01/2012","12/31/2012"
"050228","SPP_1","0.92",,"01/01/2012","12/31/2012"
"050230","SPP_1","1.12",,"01/01/2012","12/31/2012"
"050231","SPP_1","1.09",,"01/01/2012","12/31/2012"
"050232","SPP_1","0.96",,"01/01/2012","12/31/2012"
"050234","SPP_1","0.82",,"01/01/2012","12/31/2012"
"050235","SPP_1","1.02",,"01/01/2012","12/31/2012"
"050236","SPP_1","1.02",,"01/01/2012","12/31/2012"
"050238","SPP_1","1.04",,"01/01/2012","12/31/2012"
"050239","SPP_1","1.06",,"01/01/2012","12/31/2012"
"050242","SPP_1","0.99",,"01/01/2012","12/31/2012"
"050243","SPP_1","0.99",,"01/01/2012","12/31/2012"
"050245","SPP_1","0.97",,"01/01/2012","12/31/2012"
"050248","SPP_1","0.94",,"01/01/2012","12/31/2012"
"050254","SPP_1","0.88",,"01/01/2012","12/31/2012"
"050257","SPP_1","0.90",,"01/01/2012","12/31/2012"
"050261","SPP_1","0.93",,"01/01/2012","12/31/2012"
"050262","SPP_1","0.98",,"01/01/2012","12/31/2012"
"050272","SPP_1","0.96",,"01/01/2012","12/31/2012"
"050276","SPP_1","0.85",,"01/01/2012","12/31/2012"
"050278","SPP_1","1.05",,"01/01/2012","12/31/2012"
"050279","SPP_1","0.87",,"01/01/2012","12/31/2012"
"050280","SPP_1","0.98",,"01/01/2012","12/31/2012"
"050281","SPP_1","1.20",,"01/01/2012","12/31/2012"
"050283","SPP_1","0.98",,"01/01/2012","12/31/2012"
"050289","SPP_1","1.00",,"01/01/2012","12/31/2012"
"050290","SPP_1","0.97",,"01/01/2012","12/31/2012"
"050291","SPP_1","0.99",,"01/01/2012","12/31/2012"
"050292","SPP_1","0.89",,"01/01/2012","12/31/2012"
"050295","SPP_1","1.05",,"01/01/2012","12/31/2012"
"050296","SPP_1","0.90",,"01/01/2012","12/31/2012"
"050298","SPP_1","0.90",,"01/01/2012","12/31/2012"
"050300","SPP_1","0.96",,"01/01/2012","12/31/2012"
"050301","SPP_1","0.88",,"01/01/2012","12/31/2012"
"050305","SPP_1","0.97",,"01/01/2012","12/31/2012"
"050308","SPP_1","1.00",,"01/01/2012","12/31/2012"
"050309","SPP_1","0.94",,"01/01/2012","12/31/2012"
"050313","SPP_1","0.97",,"01/01/2012","12/31/2012"
"050315","SPP_1","0.89",,"01/01/2012","12/31/2012"
"050320","SPP_1","1.02",,"01/01/2012","12/31/2012"
"050324","SPP_1","1.04",,"01/01/2012","12/31/2012"
"050327","SPP_1","0.96",,"01/01/2012","12/31/2012"
"050329","SPP_1","1.06",,"01/01/2012","12/31/2012"
"050334","SPP_1","0.98",,"01/01/2012","12/31/2012"
"050335","SPP_1","0.85",,"01/01/2012","12/31/2012"
"050336","SPP_1","1.08",,"01/01/2012","12/31/2012"
"050342","SPP_1","0.94",,"01/01/2012","12/31/2012"
"050348","SPP_1","1.02",,"01/01/2012","12/31/2012"
"050349","SPP_1","0.81",,"01/01/2012","12/31/2012"
"050350","SPP_1","1.09",,"01/01/2012","12/31/2012"
"050351","SPP_1","0.98",,"01/01/2012","12/31/2012"
"050352","SPP_1","0.87",,"01/01/2012","12/31/2012"
"050353","SPP_1","1.01",,"01/01/2012","12/31/2012"
"050357","SPP_1","0.94",,"01/01/2012","12/31/2012"
"050359","SPP_1","0.96",,"01/01/2012","12/31/2012"
"050360","SPP_1","1.02",,"01/01/2012","12/31/2012"
"050367","SPP_1","0.98",,"01/01/2012","12/31/2012"
"050373","SPP_1","0.94",,"01/01/2012","12/31/2012"
"050376","SPP_1","0.89",,"01/01/2012","12/31/2012"
"050378","SPP_1","1.11",,"01/01/2012","12/31/2012"
"050380","SPP_1","1.02",,"01/01/2012","12/31/2012"
"050382","SPP_1","1.11",,"01/01/2012","12/31/2012"
"050385","SPP_1","0.94",,"01/01/2012","12/31/2012"
"050390","SPP_1","1.00",,"01/01/2012","12/31/2012"
"050393","SPP_1","1.09",,"01/01/2012","12/31/2012"
"050394","SPP_1","0.94",,"01/01/2012","12/31/2012"
"050396","SPP_1","0.94",,"01/01/2012","12/31/2012"
"050397","SPP_1","0.78",,"01/01/2012","12/31/2012"
"050407","SPP_1","0.94",,"01/01/2012","12/31/2012"
"050411","SPP_1","0.76",,"01/01/2012","12/31/2012"
"050414","SPP_1","0.93",,"01/01/2012","12/31/2012"
"050417","SPP_1","0.81",,"01/01/2012","12/31/2012"
"050423","SPP_1","0.92",,"01/01/2012","12/31/2012"
"050424","SPP_1","0.95",,"01/01/2012","12/31/2012"
"050425","SPP_1","0.87",,"01/01/2012","12/31/2012"
"050426","SPP_1","1.09",,"01/01/2012","12/31/2012"
"050434","SPP_1","0.97",,"01/01/2012","12/31/2012"
"050435","SPP_1","0.92",,"01/01/2012","12/31/2012"
"050438","SPP_1","0.98",,"01/01/2012","12/31/2012"
"050441","SPP_1","0.99",,"01/01/2012","12/31/2012"
