"prvdr_id","msr_cd","scr","footnote"
"340145","HAI_3_CI_LOWER",,"5"
"340145","HAI_4_SIR","Not Available","5"
"340145","HAI_4_ELIGCASES","0.083","5"
"340145","HAI_4_NUMERATOR","0","5"
"340145","HAI_4_PROCDAYS","9","5"
"340145","HAI_4_CI_UPPER",,"5"
"340145","HAI_4_CI_LOWER",,"5"
"340158","HAI_1_SIR","Not Available","5"
"340158","HAI_1_ELIGCASES","0.588","5"
"340158","HAI_1_NUMERATOR","0","5"
"340158","HAI_1_DEVICEDAYS","Not Available","4"
"340158","HAI_1_CI_UPPER",,"5"
"340158","HAI_1_CI_LOWER",,"5"
"340158","HAI_2_SIR","Not Available","5"
"340158","HAI_2_ELIGCASES","0.446","5"
"340158","HAI_2_NUMERATOR","0","5"
"340158","HAI_2_DEVICEDAYS","223","5"
"340158","HAI_2_CI_UPPER",,"5"
"340158","HAI_2_CI_LOWER",,"5"
"340158","HAI_3_SIR","Not Available","5"
"340158","HAI_3_ELIGCASES","0.556","5"
"340158","HAI_3_NUMERATOR","1","5"
"340158","HAI_3_PROCDAYS","18","5"
"340158","HAI_3_CI_UPPER",,"5"
"340158","HAI_3_CI_LOWER",,"5"
"340158","HAI_4_SIR","Not Available","5"
"340158","HAI_4_ELIGCASES","0.090","5"
"340158","HAI_4_NUMERATOR","0","5"
"340158","HAI_4_PROCDAYS","8","5"
"340158","HAI_4_CI_UPPER",,"5"
"340158","HAI_4_CI_LOWER",,"5"
"340160","HAI_1_SIR","Not Available","5"
"340160","HAI_1_ELIGCASES","0.266","5"
"340160","HAI_1_NUMERATOR","0","5"
"340160","HAI_1_DEVICEDAYS","Not Available","4"
"340160","HAI_1_CI_UPPER",,"5"
"340160","HAI_1_CI_LOWER",,"5"
"340160","HAI_2_SIR","Not Available","5"
"340160","HAI_2_ELIGCASES","0.265","5"
"340160","HAI_2_NUMERATOR","1","5"
"340160","HAI_2_DEVICEDAYS","204","5"
"340160","HAI_2_CI_UPPER",,"5"
"340160","HAI_2_CI_LOWER",,"5"
"340160","HAI_3_SIR","Not Available","5"
"340160","HAI_3_ELIGCASES","Not Available","5"
"340160","HAI_3_NUMERATOR","Not Available","5"
"340160","HAI_3_PROCDAYS","0","5"
"340160","HAI_3_CI_UPPER",,"5"
"340160","HAI_3_CI_LOWER",,"5"
"340160","HAI_4_SIR","Not Available","5"
"340160","HAI_4_ELIGCASES","0.046","5"
"340160","HAI_4_NUMERATOR","0","5"
"340160","HAI_4_PROCDAYS","4","5"
"340160","HAI_4_CI_UPPER",,"5"
"340160","HAI_4_CI_LOWER",,"5"
"341303","HAI_1_SIR","Not Available","5"
"341303","HAI_1_ELIGCASES","Not Available","5"
"341303","HAI_1_NUMERATOR","Not Available","5"
"341303","HAI_1_DEVICEDAYS","Not Available","4"
"341303","HAI_1_CI_UPPER",,"5"
"341303","HAI_1_CI_LOWER",,"5"
"341303","HAI_2_SIR","Not Available","5"
"341303","HAI_2_ELIGCASES","Not Available","5"
"341303","HAI_2_NUMERATOR","Not Available","5"
"341303","HAI_2_DEVICEDAYS","Not Available","5"
